date;visitors;day_of_week;day_name;is_weekend;month;year
2023-08-13;810;6;Sunday;1;8;2023
2023-08-14;1420;0;Monday;0;8;2023
2023-08-15;1459;1;Tuesday;0;8;2023
2023-08-16;1462;2;Wednesday;0;8;2023
2023-08-17;1494;3;Thursday;0;8;2023
2023-08-18;1587;4;Friday;0;8;2023
2023-08-19;865;5;Saturday;1;8;2023
2023-08-20;849;6;Sunday;1;8;2023
2023-08-21;1440;0;Monday;0;8;2023
2023-08-22;1479;1;Tuesday;0;8;2023
2023-08-23;1499;2;Wednesday;0;8;2023
2023-08-24;1418;3;Thursday;0;8;2023
2023-08-25;1414;4;Friday;0;8;2023
2023-08-26;888;5;Saturday;1;8;2023
2023-08-27;847;6;Sunday;1;8;2023
2023-08-28;1431;0;Monday;0;8;2023
2023-08-29;1508;1;Tuesday;0;8;2023
2023-08-30;1470;2;Wednesday;0;8;2023
2023-08-31;1457;3;Thursday;0;8;2023
2023-09-01;1511;4;Friday;0;9;2023
2023-09-02;917;5;Saturday;1;9;2023
2023-09-03;851;6;Sunday;1;9;2023
2023-09-04;1503;0;Monday;0;9;2023
2023-09-05;1483;1;Tuesday;0;9;2023
2023-09-06;1482;2;Wednesday;0;9;2023
2023-09-07;1470;3;Thursday;0;9;2023
2023-09-08;1471;4;Friday;0;9;2023
2023-09-09;876;5;Saturday;1;9;2023
2023-09-10;849;6;Sunday;1;9;2023
2023-09-11;1536;0;Monday;0;9;2023
2023-09-12;1464;1;Tuesday;0;9;2023
2023-09-13;1463;2;Wednesday;0;9;2023
2023-09-14;1458;3;Thursday;0;9;2023
2023-09-15;1530;4;Friday;0;9;2023
2023-09-16;899;5;Saturday;1;9;2023
2023-09-17;900;6;Sunday;1;9;2023
2023-09-18;1527;0;Monday;0;9;2023
2023-09-19;1461;1;Tuesday;0;9;2023
2023-09-20;1517;2;Wednesday;0;9;2023
2023-09-21;1505;3;Thursday;0;9;2023
2023-09-22;1468;4;Friday;0;9;2023
2023-09-23;970;5;Saturday;1;9;2023
2023-09-24;892;6;Sunday;1;9;2023
2023-09-25;1503;0;Monday;0;9;2023
2023-09-26;1517;1;Tuesday;0;9;2023
2023-09-27;1519;2;Wednesday;0;9;2023
2023-09-28;1405;3;Thursday;0;9;2023
2023-09-29;1466;4;Friday;0;9;2023
2023-09-30;926;5;Saturday;1;9;2023
2023-10-01;877;6;Sunday;1;10;2023
2023-10-02;1469;0;Monday;0;10;2023
2023-10-03;1495;1;Tuesday;0;10;2023
2023-10-04;1499;2;Wednesday;0;10;2023
2023-10-05;1523;3;Thursday;0;10;2023
2023-10-06;1531;4;Friday;0;10;2023
2023-10-07;911;5;Saturday;1;10;2023
2023-10-08;949;6;Sunday;1;10;2023
2023-10-09;1555;0;Monday;0;10;2023
2023-10-10;1624;1;Tuesday;0;10;2023
2023-10-11;1383;2;Wednesday;0;10;2023
2023-10-12;1564;3;Thursday;0;10;2023
2023-10-13;1472;4;Friday;0;10;2023
2023-10-14;911;5;Saturday;1;10;2023
2023-10-15;987;6;Sunday;1;10;2023
2023-10-16;1547;0;Monday;0;10;2023
2023-10-17;1554;1;Tuesday;0;10;2023
2023-10-18;1461;2;Wednesday;0;10;2023
2023-10-19;1385;3;Thursday;0;10;2023
2023-10-20;1582;4;Friday;0;10;2023
2023-10-21;727;5;Saturday;1;10;2023
2023-10-22;973;6;Sunday;1;10;2023
2023-10-23;1314;0;Monday;0;10;2023
2023-10-24;1626;1;Tuesday;0;10;2023
2023-10-25;1519;2;Wednesday;0;10;2023
2023-10-26;1398;3;Thursday;0;10;2023
2023-10-27;1529;4;Friday;0;10;2023
2023-10-28;883;5;Saturday;1;10;2023
2023-10-29;884;6;Sunday;1;10;2023
2023-10-30;1385;0;Monday;0;10;2023
2023-10-31;1550;1;Tuesday;0;10;2023
2023-11-01;1310;2;Wednesday;0;11;2023
2023-11-02;1566;3;Thursday;0;11;2023
2023-11-03;1474;4;Friday;0;11;2023
2023-11-04;383;5;Saturday;1;11;2023
2023-11-05;969;6;Sunday;1;11;2023
2023-11-06;1431;0;Monday;0;11;2023
2023-11-07;1432;1;Tuesday;0;11;2023
2023-11-08;1491;2;Wednesday;0;11;2023
2023-11-09;1469;3;Thursday;0;11;2023
2023-11-10;1469;4;Friday;0;11;2023
2023-11-11;824;5;Saturday;1;11;2023
2023-11-12;854;6;Sunday;1;11;2023
2023-11-13;1517;0;Monday;0;11;2023
2023-11-14;1417;1;Tuesday;0;11;2023
2023-11-15;1467;2;Wednesday;0;11;2023
2023-11-16;1401;3;Thursday;0;11;2023
2023-11-17;1430;4;Friday;0;11;2023
2023-11-18;792;5;Saturday;1;11;2023
2023-11-19;2335;6;Sunday;1;11;2023
2023-11-20;1418;0;Monday;0;11;2023
2023-11-21;1442;1;Tuesday;0;11;2023
2023-11-22;1464;2;Wednesday;0;11;2023
2023-11-23;1411;3;Thursday;0;11;2023
2023-11-24;1442;4;Friday;0;11;2023
2023-11-25;795;5;Saturday;1;11;2023
2023-11-26;865;6;Sunday;1;11;2023
2023-11-27;1387;0;Monday;0;11;2023
2023-11-28;1465;1;Tuesday;0;11;2023
2023-11-29;1374;2;Wednesday;0;11;2023
2023-11-30;1393;3;Thursday;0;11;2023
2023-12-01;1409;4;Friday;0;12;2023
2023-12-02;822;5;Saturday;1;12;2023
2023-12-03;827;6;Sunday;1;12;2023
2023-12-04;1419;0;Monday;0;12;2023
2023-12-05;1352;1;Tuesday;0;12;2023
2023-12-06;1391;2;Wednesday;0;12;2023
2023-12-07;1364;3;Thursday;0;12;2023
2023-12-08;1396;4;Friday;0;12;2023
2023-12-09;796;5;Saturday;1;12;2023
2023-12-10;776;6;Sunday;1;12;2023
2023-12-11;1356;0;Monday;0;12;2023
2023-12-12;1340;1;Tuesday;0;12;2023
2023-12-13;1344;2;Wednesday;0;12;2023
2023-12-14;1339;3;Thursday;0;12;2023
2023-12-15;1355;4;Friday;0;12;2023
2023-12-16;776;5;Saturday;1;12;2023
2023-12-17;750;6;Sunday;1;12;2023
2023-12-18;1311;0;Monday;0;12;2023
2023-12-19;1304;1;Tuesday;0;12;2023
2023-12-20;1358;2;Wednesday;0;12;2023
2023-12-21;1397;3;Thursday;0;12;2023
2023-12-22;1333;4;Friday;0;12;2023
2023-12-23;702;5;Saturday;1;12;2023
2023-12-24;686;6;Sunday;1;12;2023
2023-12-25;1345;0;Monday;0;12;2023
2023-12-26;1383;1;Tuesday;0;12;2023
2023-12-27;1300;2;Wednesday;0;12;2023
2023-12-28;1285;3;Thursday;0;12;2023
2023-12-29;1239;4;Friday;0;12;2023
2023-12-30;706;5;Saturday;1;12;2023
2023-12-31;340;6;Sunday;1;12;2023
