Дата;Клиент;Город;Товар;Количество;Цена;Сумма
2023-08-01;ромашка;С-Петербург;Товар А; 39 ;2237,41;87258,99
17.07.2023;ГАЗПРОМ;Yekaterinburg;Товар Б;72;1144,59;82410,48
12/07/23;ИП Иванов;Екб;Товар Б;69;3588,01;247572,69
2023-07-10;YANDEX;спб;Товар Б;49;2615,48;128158,52
2023-01-18;ГАЗПРОМ;;Товар Б;-28;8237,21;-230641,88
2023-10-12;;Нск;Товар В;47;2636,81;123930,07
2023-04-22;ОАО Газпром;нижний новгород;Товар А;-77;8102,58;-623898,66
2023-06-21;ТЕХНОСИЛА;Moskva;Товар Б;96;213,20;20467,20
2023-01-22;ЗАО Техносила;спб;Товар Г;58;991,82;57525,56
22.06.2023;Gazprom;екатеринбург;Товар А;52; 1390,71₽ ;72316,92
2023-09-07;"ОАО ""Газпром""";N.Novgorod;Товар Б;10;6878,91;68789,10
07/07/23;газпром оао;НН;Товар В;79;6269,50;495290,50
2023-12-17;"ООО ""Ромашка""";МОСКВА;Товар Д;19;235,96;4483,24
2023-01-12;Иванов И.П.;Екб;Товар Д;62;6981,20;432834,40
27.09.2023;;СПб;Товар Д; 35 ; 6582,10₽ ;230373,50
2023-05-19;техносила;Москва;Товар Г;30;7125,92;213777,60
15.02.2023;ГАЗПРОМ;екатеринбург;Товар А;6;3402,34;20414,04
06/30/23;ГАЗПРОМ;МОСКВА;Товар Г;4;2333,27;9333,08
2023-07-15;ООО Яндекс;Novosibirsk;Товар Б;55;3359,92;184795,60
10/05/23;Romashka Ltd;нижний новгород;Товар Б;56;1537,01;86072,56
2023-10-13;ИП Иванов;М.;Товар В;53;7481,54;396521,62
03/19/23;;ЕКБ;Товар Д;73; 2386,03₽ ;174180,19
02.09.2023;газпром оао;Нижний Новгород;Товар Г;63;2340,10;147426,30
31.07.2023;Яндекс;НН;Товар Б;57;3316,47;189038,79
2023-01-22;YANDEX;ЕКБ;Товар Д;77; 7070,71₽ ;544444,67
08/22/23;ИП ИВАНОВ;новосибирск;Товар А;72;9629,66;693335,52
05/27/23;газпром оао;нижний новгород;Товар Б;60; 7254,20₽ ;435252,00
12/23/23;ЗАО Техносила;Санкт-Петербург;Товар Б; 59 ;3308,34;195192,06
05.03.2023;"ООО ""Яндекс""";Нск;Товар Г;94;9502,56;893240,64
2023-06-21;Romashka Ltd;М.;Товар А;54;9613,56;519132,24
14.04.2023;яндекс ооо;НСК;Товар Г;70;4985,32;348972,40
15.08.2023;;екатеринбург;Товар Д; 27 ;1567;42328,98
2023-12-08;ЗАО Техносила;МОСКВА;Товар Б;21;6945,98;145865,58
08/22/23;;Saint-Petersburg;Товар Г;9;742,77;6684,93
2023-06-18;"ООО ""Яндекс""";МОСКВА;Товар Д;12;9345,53;112146,36
12.06.2023;Gazprom;Нск;Товар Д;73;5027,64;367017,72
05/29/23;ООО Ромашка;Moskva;Товар Б;79;3404,54;236811,34
25.05.2023;"ООО ""Ромашка""";Екб;Товар А;15;7271;109072,95
2023-06-19;ОАО Газпром;МОСКВА;Товар Г;20;5415,98;108319,60
01/29/23;YANDEX;екатеринбург;Товар Б;74;8891,49;657970,26
01/16/23;"ОАО ""Газпром""";Yekaterinburg;Товар Б;77;3151,99;242703,23
02/14/23;Tehnosila LLC;Saint-Petersburg;Товар В;23;7800,12;178158,65
14.09.2023;ЗАО Техносила;N.Novgorod;Товар В;100;1072,69;107269,00
04/16/23;"ООО ""Яндекс""";;Товар А;88;3399,57;299162,16
09.06.2023;яндекс ооо;СПб;Товар Б;37; 4467,04₽ ;165280,48
21.05.2023;газпром оао;Moskva;Товар В;71;7073,10;502190,10
2023-11-10;ромашка;Екатеринбург;Товар А;14;3979,98;55719,72
2023-12-20;Иванов ИП;СПб;Товар Д;11; 4710,38₽ ;51814,18
12/24/23;Яндекс;НН;Товар Б;29;2654,72;76986,88
2023-06-19;Tehnosila LLC;москва;Товар В;62;7702,62;477562,44
01/01/24;;Saint-Petersburg;Товар Г;76;5524,70;419877,20
2023-12-22;ТЕХНОСИЛА;Новосибирск;Товар Б;23;9315,55;214257,65
08/26/23;Tehnosila LLC;новосибирск;Товар А;88;3851,22;338907,36
2023-03-13;ООО Яндекс;НН;Товар Б;58;5821,52;337648,16
2023-10-19;ТЕХНОСИЛА;Нск;Товар Д;2;8491;16983,20
28.01.2023;"ОАО ""Газпром""";Нск;Товар В;4;4003,26;16013,04
;;;;;;
07.10.2023;ИП Иванов;СПб;Товар В;54; 6733,65₽ ;363617,10
09.01.2023;ОАО Газпром;М.;Товар Г;59;9310,08;549294,72
;;;;;;
08/19/23;ТЕХНОСИЛА;Yekaterinburg;Товар Б;92;5507,05;506648,60
2023-12-27;;N.Novgorod;Товар В;60;6139,70;368382,00
09.12.2023;ООО Яндекс;Yekaterinburg;Товар А;-44;4594,94;-202177,36
2023-06-30;Иванов ИП;нижний новгород;Товар В;94;6330,07;595026,58
2023-05-30;Иванов ИП;М.;Товар В;33; 8592,80₽ ;283562,40
2023-03-31;Яндекс;Санкт-Петербург;Товар Б;63;427,60;26938,80
2023-03-20;ТЕХНОСИЛА;спб;Товар Б;27;637,83;17221,41
08/26/23;YANDEX;екатеринбург;Товар Г;61;4403,87;268636,07
2023-06-11;;екатеринбург;Товар Г;79;3416;269878,22
2023-07-20;ИП ИВАНОВ;Yekaterinburg;Товар Д;44; 3201,37₽ ;116516,92
30.07.2023;РОМАШКА ООО;Нск;Товар В;-33;1010,22;-33337,26
2023-11-03;;ЕКБ;Товар Д;24;2608,02;62592,48
2023-05-22;Яндекс;Новосибирск;Товар А;36; 3393,28₽ ;122158,08
16.05.2023;"ООО ""Ромашка""";СПб;Товар Б;83;7710,20;639946,60
13.05.2023;;N.Novgorod;Товар Г;3;6439,32;19317,96
12/25/23;ООО Ромашка;НН;Товар Г;52;7875;409514,56
04.09.2023;"ОАО ""Газпром""";Нск;Товар В; 52 ;9970,46;518463,92
24.06.2023;Tehnosila LLC;Saint-Petersburg;Товар Б; 71 ;3903,22;277128,62
11/19/23;ООО Яндекс;СПб;Товар Б;4; 4943,40₽ ;19773,60
2023-06-07;Tehnosila LLC;;Товар А;-44;1270,05;-55882,20
2023-12-14;YANDEX;;Товар Б;63; 9188,39₽ ;578868,57
08.03.2023;;Saint-Petersburg;Товар А;59;733,18;43257,62
12.11.2023;Иванов И.П.;N.Novgorod;Товар В;16;1459,56;23352,96
31.10.2023;"ООО ""Ромашка""";М.;Товар Б;90;2512,08;226087,20
2023-11-20;ООО Ромашка;;Товар Б;12;2908,94;34907,28
06.03.2023;ООО Яндекс;НСК;Товар Б;79;7200;568821,33
06/04/23;ИП ИВАНОВ;Екб;Товар Д;47;5124,65;240858,55
28.01.2023;Romashka Ltd;Екатеринбург;Товар Б;86;3705,51;318673,86
21.08.2023;;екатеринбург;Товар А;63;2429,47;153056,61
12/13/23;РОМАШКА ООО;Moskva;Товар Г;26;4762,80;123832,80
11/09/23;Romashka Ltd;СПб;Товар В;-26;5729,79;-148974,54
03.08.2023;ЗАО Техносила;Saint-Petersburg;Товар Д;22;2374,05;52229,10
2023-04-21;;Novosibirsk;Товар Б;32;8929,04;285729,28
01/03/23;ОАО Газпром;;Товар Д;51;8230,78;419769,78
01/07/23;Иванов И.П.;Saint-Petersburg;Товар А;3;7062,71;20805,39
03/12/23;техносила;нижний новгород;Товар А;50;423,87;21193,50
10/05/23;;Новосибирск;Товар А;66; 8890,98₽ ;586804,68
13.11.2023;техносила;екатеринбург;Товар Д;91;3415,80;310837,80
2023-10-25;яндекс ооо;спб;Товар В;65;727,35;47277,75
2023-03-04;"ОАО ""Газпром""";НСК;Товар А;25;893,69;22342,25
25.02.2023;РОМАШКА ООО;Екатеринбург;Товар Б;-67;4223,71;-282988,57
2023-08-04;Иванов ИП;Москва;Товар Б;67;3493,65;234074,55
2023-12-23;Tehnosila LLC;М.;Товар В;22;3781,83;83200,26
05/26/23;ИП Иванов;Saint-Petersburg;Товар Б;91;1619;147374,50
03/06/23;Иванов И.П.;МОСКВА;Товар В;19;1709,72;32484,68
2023-09-13;ЗАО Техносила;N.Novgorod;Товар Д;43;8970,18;385717,74
08.12.2023;Gazprom;НСК;Товар А;-94; 6812,28₽ ;-670456,61
04/23/23;ромашка;СПб;Товар Б;-99;5430,28;-537597,72
09/20/23;газпром оао;МОСКВА;Товар В;51;3759,34;191726,34
08/17/23;YANDEX;N.Novgorod;Товар Г;37;8987,46;332536,02
03.11.2023;Иванов И.П.;Екб;Товар А;76;4153,66;315678,16
2023-12-30;Иванов И.П.;новосибирск;Товар Г;6;5893,56;35361,36
02.01.2023;Иванов ИП;Нижний Новгород;Товар В;54; 6483,38₽ ;350102,52
09/10/23;YANDEX;Екатеринбург;Товар В;81;8200,98;600385,58
25.10.2023;ЗАО Техносила;нижний новгород;Товар Б;7;9129,84;63908,88
2023-02-09;ИП Иванов;ЕКБ;Товар Д;42;6881,17;289009,14
02/19/23;;Екб;Товар Г;53;1113,94;59038,82
2023-10-14;ГАЗПРОМ;нижний новгород;Товар А;54;8206,56;443154,24
05.07.2023;Tehnosila LLC;ЕКБ;Товар В;-23;8164,28;-187778,44
04/27/23;"ООО ""Ромашка""";НН;Товар А;3; 520,92₽ ;1562,76
09/20/23;;Saint-Petersburg;Товар А;16;9021,63;144346,08
05/23/23;ИП Иванов;НН;Товар Б;65; 5823,52₽ ;378528,80
04/09/23;яндекс ооо;N.Novgorod;Товар Б;65;7011,52;455748,80
07/01/23;ГАЗПРОМ;Moskva;Товар В;16;5008,58;80137,28
02/12/23;Иванов ИП;N.Novgorod;Товар Г;29;8568;248475,48
09/01/23;ООО Ромашка;Екатеринбург;Товар Г;57;1280,26;72974,82
28.03.2023;Иванов И.П.;ЕКБ;Товар Г;16;5041,19;80659,04
11/26/23;Яндекс;новосибирск;Товар Д;36;1309,68;47148,48
16.01.2023;ромашка;Екатеринбург;Товар Б;49;3097,25;151765,25
2023-09-24;Иванов И.П.;Екатеринбург;Товар В;70;5511;385807,80
03/02/23;"ЗАО ""Техносила""";;Товар Д;85;7089,99;602649,15
2023-09-07;ОАО Газпром;Н.Новгород;Товар Г;61;651,80;39759,80
2023-12-13;;;Товар В;45;7675,42;345393,90
07/02/23;ИП ИВАНОВ;Нижний Новгород;Товар А; 89 ;3118;277558,07
08/24/23;ГАЗПРОМ;;Товар Г; 76 ;3233,49;245745,24
08.09.2023;Яндекс;Екатеринбург;Товар В;22;4416,31;97158,82
02.10.2023;;Yekaterinburg;Товар Б;80; 8457,45₽ ;676596,00
2023-02-04;ТЕХНОСИЛА;москва;Товар В;65;5445,48;353956,20
2023-08-21;ООО Ромашка;Екб;Товар Д;64;7447,86;476663,04
2023-11-11;Gazprom;МОСКВА;Товар В;60;6884,54;413072,40
2023-02-02;Иванов;Нижний Новгород;Товар Д;31;1999,97;61999,07
10/14/23;ромашка;С-Петербург;Товар В;36;8539,96;351658,56
02/12/23;"ООО ""Ромашка""";Novosibirsk;Товар А;51; 1491,55₽ ;76069,05
2023-03-03;яндекс ооо;С-Петербург;Товар А;31;3202,76;99285,56
05/01/23;РОМАШКА ООО;С-Петербург;Товар В; 76 ;5381,35;408982,60
2023-09-01;Romashka Ltd;нижний новгород;Товар В;3;444,61;1333,83
10.12.2023;"ОАО ""Газпром""";Нижний Новгород;Товар В;88;8590,71;755982,48
2023-05-11;яндекс ооо;СПб;Товар Б;57;7690;438371,61
09/09/23;ЗАО Техносила;Moskva;Товар В; 65 ;4266,62;277330,30
22.12.2023;ромашка;Санкт-Петербург;Товар Б;1; 3205,85₽ ;3205,85
2023-09-22;ООО Яндекс;ЕКБ;Товар В;58;2680,73;155482,34
12.04.2023;техносила;новосибирск;Товар Д; 29 ;327,40;9494,60
02/15/23;"ООО ""Яндекс""";МОСКВА;Товар Г;77;3742,41;288165,57
2023-08-11;Яндекс;спб;Товар Б;35;1388,97;48613,95
05/25/23;ИП Иванов;;Товар В;31;3759,41;99442,94
06/15/23;Иванов И.П.;нижний новгород;Товар Д; 33 ; 5614,30₽ ;185271,90
2023-08-30;Яндекс;ЕКБ;Товар А;1;3094,82;3094,82
14.10.2023;ИП Иванов;Екб;Товар В;60; 5351,20₽ ;321072,00
01/23/23;Иванов;Novosibirsk;Товар В;79;5218,03;412224,37
09/09/23;Яндекс;НСК;Товар Б;-7;2676,22;-18733,54
11.09.2023;техносила;екатеринбург;Товар Г;15; 1324,18₽ ;19862,70
2023-04-03;Иванов;Н.Новгород;Товар Д;1; 4222,55₽ ;4222,55
13.12.2023;;Н.Новгород;Товар А;51;1150;58654,59
12/29/23;Иванов;Москва;Товар А;84;9479,44;796272,96
08.03.2023;ромашка;Saint-Petersburg;Товар А; 96 ;9523,81;914285,76
24.07.2023;Иванов И.П.;НН;Товар Б;16;7385,30;118164,80
2023-07-03;ГАЗПРОМ;НСК;Товар Г;35;7589,26;265624,10
07.08.2023;ГАЗПРОМ;НСК;Товар Б;64;931;59603,20
03.06.2023;Romashka Ltd;Saint-Petersburg;Товар Д;-55; 857,67₽ ;-47171,85
08/06/23;YANDEX;С-Петербург;Товар Д;-11;7431,11;-81742,21
24.01.2023;"ООО ""Яндекс""";Yekaterinburg;Товар Г;80;9189,31;735144,80
06.11.2023;Яндекс;;Товар Г; 15 ;6592,43;98886,45
11/05/23;газпром оао;Н.Новгород;Товар Г; 39 ;1437,63;56067,57
04/07/23;ООО Яндекс;спб;Товар Д; 25 ; 7720,24₽ ;193006,00
01.03.2023;Romashka Ltd;НСК;Товар Г;3;2093,25;6279,75
05.01.2023;"ООО ""Яндекс""";Novosibirsk;Товар Д;77;466,47;35918,19
2023-12-14;ИП ИВАНОВ;;Товар Д;41;6518,17;267244,97
2023-11-27;ООО Ромашка;N.Novgorod;Товар В;57;9099,79;518688,03
2023-12-03;YANDEX;Novosibirsk;Товар В;61;6256,24;381630,64
08.03.2023;ИП Иванов;Moskva;Товар Г;39;9992,69;389714,91
2023-03-31;ромашка;Новосибирск;Товар Д;30;2652,44;91595,55
2023-05-17;ГАЗПРОМ;Moskva;Товар Г;59;9749,13;575198,67
02/22/23;РОМАШКА ООО;Moskva;Товар В;21;7643,45;160512,45
07/06/23;Иванов И.П.;Novosibirsk;Товар А;32;2938,91;94045,12
2023-08-01;Romashka Ltd;Екб;Товар Б;18;4152,16;74738,88
07/05/23;;Екб;Товар А;44; 1726,81₽ ;75979,64
12/05/23;;Нижний Новгород;Товар Д;38;7037,82;267437,16
26.06.2023;Иванов;ЕКБ;Товар Г;58;6281,16;364307,28
11/29/23;;екатеринбург;Товар Б;67;1018,91;68266,97
23.03.2023;"ОАО ""Газпром""";спб;Товар В;93;7346,66;683239,38
05.03.2023;ООО Яндекс;НСК;Товар А;59;7483,00;441497,00
2023-12-07;техносила;Н.Новгород;Товар Д;87; 7401,37₽ ;643919,19
04/09/23;РОМАШКА ООО;Novosibirsk;Товар А; 12 ;8896,24;106754,88
2023-09-27;яндекс ооо;С-Петербург;Товар Г;57;7344,00;418608,00
09/06/23;"ООО ""Яндекс""";Екб;Товар Б;59;9446,29;557331,11
29.07.2023;техносила;МОСКВА;Товар А;48; 3010,41₽ ;144499,68
2023-10-29;Иванов ИП;СПб;Товар Г;1;8717,22;8717,22
06/22/23;YANDEX;М.;Товар Д;82;4545,84;372758,88
;;;;;;
12/07/23;"ЗАО ""Техносила""";МОСКВА;Товар Г;95; 1739,59₽ ;165261,05
2023-12-29;ООО Яндекс;СПб;Товар Д;74;5265,36;414301,33
30.09.2023;ООО Ромашка;СПб;Товар Д; 57 ;5382,08;306778,56
01/12/23;ООО Ромашка;Новосибирск;Товар А;15;2924,98;43874,70
07/28/23;ЗАО Техносила;нижний новгород;Товар Г;13;3309,76;43026,88
14.04.2023;газпром оао;Екатеринбург;Товар Д;50;3251;171260,77
10.01.2023;Gazprom;спб;Товар Б;39;8478,15;330647,85
2023-10-04;"ОАО ""Газпром""";екатеринбург;Товар А;60;6565;393916,80
2023-05-20;"ЗАО ""Техносила""";Нижний Новгород;Товар Д; 37 ;7417,91;274462,67
2023-03-04;Иванов;СПб;Товар В;88;9798,44;862262,72
06/14/23;газпром оао;нижний новгород;Товар А;78;6759,79;527263,62
2023-07-21;ООО Яндекс;;Товар Г;87;3826,13;332873,31
12/23/23;техносила;;Товар А;98; 3642,43₽ ;356958,14
06/05/23;ОАО Газпром;МОСКВА;Товар Д; 27 ;9844,21;265793,67
2023-09-14;Яндекс;Н.Новгород;Товар Д; 23 ; 1369,64₽ ;31501,72
2023-10-19;YANDEX;СПб;Товар А;89;6838;608647,86
12/11/23;ЗАО Техносила;Novosibirsk;Товар Д;60;530;31818,00
09/30/23;Иванов И.П.;Yekaterinburg;Товар Б;89;2574,84;229160,76
19.02.2023;ТЕХНОСИЛА;Yekaterinburg;Товар В;33;9592,15;316540,95
2023-05-02;газпром оао;Moskva;Товар Д; 16 ; 700,80₽ ;11212,80
22.12.2023;;НСК;Товар Д;81; 652,32₽ ;52837,92
25.07.2023;яндекс ооо;ЕКБ;Товар Д;2;4338,25;8676,50
12/12/23;ЗАО Техносила;Moskva;Товар Д; 92 ;7915,22;728200,24
05/12/23;газпром оао;спб;Товар А;8;5179,94;41439,52
10/05/23;Иванов ИП;Saint-Petersburg;Товар А;67;667,44;44718,48
2023-08-05;ООО Яндекс;москва;Товар Г;89;6954,90;618986,10
06/03/23;Tehnosila LLC;МОСКВА;Товар А;82;6276,81;514698,42
06/19/23;"ЗАО ""Техносила""";Москва;Товар А; 46 ;1240,37;57057,02
04.07.2023;ООО Ромашка;Saint-Petersburg;Товар В;93;2535,05;235759,65
21.02.2023;Яндекс;Нижний Новгород;Товар А;44;2477,48;109009,12
2023-11-16;"ООО ""Ромашка""";М.;Товар Б;69;6035,54;435780,31
04/07/23;Romashka Ltd;МОСКВА;Товар В;17;8869;150785,92
12/06/23;"ЗАО ""Техносила""";Нижний Новгород;Товар В;64;7153,62;457831,68
31.08.2023;"ЗАО ""Техносила""";Yekaterinburg;Товар Б;29;2420,41;70191,89
03/22/23;;НН;Товар Г;67;4706,01;315302,67
07/29/23;Иванов;Санкт-Петербург;Товар В; 83 ;9024,61;749042,63
2023-02-10;РОМАШКА ООО;;Товар Б;43;3096,88;133165,84
12/28/23;яндекс ооо;екатеринбург;Товар А;99;7852,97;777444,03
02.12.2023;ООО Яндекс;НН;Товар Г;30;4796,94;143908,20
08/25/23;Иванов И.П.;нижний новгород;Товар Г;-58;1475,61;-85585,38
2023-09-13;ЗАО Техносила;Novosibirsk;Товар Г;98; 3328,19₽ ;326162,62
13.03.2023;ЗАО Техносила;ЕКБ;Товар Д;51;3967,30;202332,30
2023-10-19;;Moskva;Товар Б;5;365,70;1828,50
16.04.2023;Яндекс;НСК;Товар Д;2;4167,53;8335,06
09/02/23;Иванов И.П.;СПб;Товар Г;21;5916,17;124239,57
01/04/23;"ЗАО ""Техносила""";спб;Товар Д;63;7399,18;466148,34
2023-12-25;"ЗАО ""Техносила""";Санкт-Петербург;Товар Б;80;9117,25;729380,00
23.01.2023;ИП Иванов;Нижний Новгород;Товар А;90;9096,49;818684,10
08.07.2023;РОМАШКА ООО;НН;Товар Г;22; 4675,46₽ ;102860,12
2023-08-25;Иванов И.П.;Москва;Товар Б;42; 4667,43₽ ;196032,06
01/01/24;Иванов;Санкт-Петербург;Товар Д;13;7440,32;87951,37
08/14/23;ромашка;екатеринбург;Товар А;82;7192,46;589781,72
01/27/23;"ЗАО ""Техносила""";спб;Товар Б; 26 ;4274,66;111141,16
09.12.2023;РОМАШКА ООО;Н.Новгород;Товар Б;6;3338,70;20032,20
10/05/23;ИП ИВАНОВ;Нск;Товар А;-52;2206,40;-114732,80
11/16/23;Иванов И.П.;НН;Товар А;92;8519,60;783803,20
2023-11-20;яндекс ооо;Новосибирск;Товар В;86;6124,48;526705,28
2023-04-30;ООО Ромашка;ЕКБ;Товар А;40; 2511,10₽ ;100444,00
13.09.2023;Romashka Ltd;;Товар Д;57;2853,45;162646,65
08/01/23;ООО Ромашка;N.Novgorod;Товар Б;27;6683,56;180456,12
2023-11-08;ИП Иванов;Москва;Товар Г;9;9920,92;89288,28
2023-10-09;ИП ИВАНОВ;Novosibirsk;Товар В;22;1846,71;40627,62
22.11.2023;;Нск;Товар Б;61;7375,79;449923,19
01/11/23;"ООО ""Ромашка""";Saint-Petersburg;Товар Б;71;4690,15;333000,65
2023-02-06;Иванов И.П.;;Товар Д;94;9264,34;870847,96
2023-09-08;"ООО ""Ромашка""";МОСКВА;Товар А;50;7653,21;382660,50
06/28/23;"ООО ""Яндекс""";МОСКВА;Товар Г;95;9222,54;934203,41
17.03.2023;Tehnosila LLC;М.;Товар Д;75;222,14;16660,50
2023-07-23;"ООО ""Ромашка""";СПб;Товар Б;55;9680,07;532403,85
2023-07-30;"ООО ""Ромашка""";Yekaterinburg;Товар В;19;7508;142653,33
09.09.2023;"ООО ""Ромашка""";Novosibirsk;Товар В;94; 1945,36₽ ;182863,84
09/15/23;Иванов И.П.;МОСКВА;Товар Б;34;4463,23;151749,82
10.02.2023;"ЗАО ""Техносила""";москва;Товар Д;31; 1098,01₽ ;34038,31
2023-01-04;;Екб;Товар Г;78;2731,77;213078,06
2023-06-22;ЗАО Техносила;Нск;Товар Г; 79 ;3624,69;286350,51
2023-12-24;;Moskva;Товар В;90;4573,99;411659,10
05.12.2023;ООО Яндекс;;Товар В;6;6811,50;40869,00
2023-02-11;ОАО Газпром;нижний новгород;Товар Г;38;8711,60;331040,80
17.01.2023;"ООО ""Ромашка""";Н.Новгород;Товар Г;22;4873,47;107216,34
12/04/23;;Новосибирск;Товар В;29;9519,89;276076,81
11/21/23;"ООО ""Яндекс""";спб;Товар Д;9;7202,68;64824,12
10/15/23;ИП ИВАНОВ;Moskva;Товар А;12;1962,75;23553,00
2023-06-10;ООО Ромашка;Yekaterinburg;Товар Г;55;6825,09;375379,95
24.04.2023;ООО Ромашка;НСК;Товар В;29; 6054,51₽ ;175580,79
26.12.2023;ЗАО Техносила;нижний новгород;Товар Д;62;2985;185119,60
03/20/23;YANDEX;спб;Товар А;100;3978,90;397890,00
01/12/23;Яндекс;Нск;Товар Г;10;6994,13;69941,30
2023-03-09;ромашка;нижний новгород;Товар Б;74; 2981,71₽ ;220646,54
04/11/23;YANDEX;Moskva;Товар Б;49;8432;413189,07
04/02/23;ГАЗПРОМ;Yekaterinburg;Товар Б;81;1276,15;103368,15
03/30/23;"ООО ""Яндекс""";Н.Новгород;Товар Г;84; 4506,67₽ ;378560,28
2023-03-04;ГАЗПРОМ;Yekaterinburg;Товар Д;62;7964,00;493768,00
11.08.2023;;москва;Товар Д;24;3998,59;95966,16
2023-02-02;"ООО ""Яндекс""";Нижний Новгород;Товар Б;85;6031,12;512645,20
04.03.2023;Gazprom;Санкт-Петербург;Товар В; 97 ;9801,29;950725,13
2023-08-05;ИП ИВАНОВ;Екб;Товар В;85;4955,38;421207,30
11/07/23;РОМАШКА ООО;МОСКВА;Товар Б;19;9578,49;181991,31
03/07/23;"ОАО ""Газпром""";новосибирск;Товар Б;52;6797,60;353475,20
2023-11-19;"ООО ""Яндекс""";нижний новгород;Товар Д;78;3231,97;252093,66
07.05.2023;РОМАШКА ООО;Н.Новгород;Товар А;43;3401,82;146278,26
06.01.2023;ИП ИВАНОВ;Moskva;Товар А;23;5929;136375,97
2023-10-20;;МОСКВА;Товар Г;24;9683,20;232396,80
09/02/23;Яндекс;М.;Товар Б;49;9192,57;450435,93
2023-12-14;ИП Иванов;Нск;Товар Д;37;9422,60;348636,20
02/14/23;ЗАО Техносила;Нижний Новгород;Товар Б;12;7459,75;89517,00
2023-08-06;Romashka Ltd;Екб;Товар Д;-90;1982;-178453,80
10/01/23;YANDEX;Екб;Товар А;78;9308,84;726089,52
2023-07-07;ромашка;новосибирск;Товар А;44;5437,28;239240,32
31.05.2023;ООО Ромашка;Yekaterinburg;Товар В;83;9360,60;776929,80
01/04/23;техносила;Нск;Товар Б;52; 4971,26₽ ;258505,52
2023-03-20;ООО Ромашка;Н.Новгород;Товар Г;51;8932,71;455568,21
12/03/23;техносила;Москва;Товар Б;-15;4006,01;-60090,15
2023-04-12;Иванов;Екатеринбург;Товар Б;42;4058,77;170468,34
09.03.2023;РОМАШКА ООО;М.;Товар Д;2;6815,27;13630,54
08/11/23;"ООО ""Ромашка""";спб;Товар Д;24;8655,25;207726,00
2023-04-12;РОМАШКА ООО;Екб;Товар Б;76;1292,57;98235,32
2023-03-16;"ООО ""Ромашка""";новосибирск;Товар В;90;3428,16;308534,40
05.06.2023;техносила;Нск;Товар Б;41;105,31;4317,71
05/24/23;ИП Иванов;Екатеринбург;Товар В; 15 ;235,25;3528,75
2023-07-05;газпром оао;Нижний Новгород;Товар Д; 50 ;1153,02;68450,88
12/02/23;Tehnosila LLC;москва;Товар Д;44;7633,78;335886,32
08/03/23;яндекс ооо;екатеринбург;Товар В;58;4417,65;256223,70
12.01.2023;Иванов;М.;Товар Д;8;7433,08;59464,64
08.02.2023;яндекс ооо;екатеринбург;Товар Г;78;1684,03;131354,34
2023-09-20;ГАЗПРОМ;спб;Товар В;71;5382,30;382143,30
05/23/23;ромашка;спб;Товар Б;69;6363,56;439085,64
09.10.2023;Romashka Ltd;ЕКБ;Товар А;81;2270,87;183940,47
;;;;;;
2023-10-03;яндекс ооо;N.Novgorod;Товар Г;84;6082,98;510970,32
2023-04-15;яндекс ооо;НСК;Товар Г;48;5010,02;240480,96
2023-10-19;ООО Яндекс;Saint-Petersburg;Товар Б;51;1520,87;77564,37
26.07.2023;ГАЗПРОМ;НН;Товар Д;-13;8282,97;-96839,38
12.02.2023;ООО Яндекс;Москва;Товар А;70;7103,81;497266,70
08/16/23;ОАО Газпром;МОСКВА;Товар В;-81;540,81;-43805,61
01.08.2023;;Novosibirsk;Товар В;84;6875,73;577561,32
09.09.2023;РОМАШКА ООО;Saint-Petersburg;Товар Д;43;9206,75;395890,25
09/29/23;ТЕХНОСИЛА;Н.Новгород;Товар Д;37;9170,72;339316,64
2023-12-31;Romashka Ltd;М.;Товар Г;58; 4836,48₽ ;280515,84
23.05.2023;ЗАО Техносила;Санкт-Петербург;Товар В;41;9731,20;398979,20
12/01/23;"ОАО ""Газпром""";екатеринбург;Товар Д;30;4276,22;128286,60
26.12.2023;;Москва;Товар Г;18;3558,54;64053,72
2023-05-31;"ОАО ""Газпром""";Novosibirsk;Товар Б;8; 6988,23₽ ;55905,84
12/23/23;"ООО ""Яндекс""";Yekaterinburg;Товар Д; 21 ; 3715,92₽ ;78034,32
10/19/23;яндекс ооо;N.Novgorod;Товар Д;90;7253,32;551292,94
01/31/23;яндекс ооо;;Товар Г;88;7142,93;628577,84
04/27/23;"ООО ""Ромашка""";М.;Товар Г; 80 ;3983,68;318694,40
02/09/23;ЗАО Техносила;новосибирск;Товар Б;7; 2027,83₽ ;14194,81
11/05/23;ИП ИВАНОВ;екатеринбург;Товар Б; 77 ;9105,90;701154,30
04.05.2023;Gazprom;Yekaterinburg;Товар Г; 6 ;1022,79;6136,74
07/23/23;"ЗАО ""Техносила""";М.;Товар А;43;1099,93;47296,99
2023-07-15;ромашка;М.;Товар А; 81 ;7212,78;584235,18
2023-03-24;YANDEX;Екб;Товар В;58;3667,13;212693,54
12/16/23;газпром оао;М.;Товар Г;13;8717,53;113327,89
02/14/23;ИП Иванов;Санкт-Петербург;Товар Д;47;7135,48;335367,56
08/15/23;РОМАШКА ООО;;Товар В;52;6837,79;355565,08
2023-06-10;ГАЗПРОМ;;Товар А;95;5651,92;536932,40
10/19/23;"ЗАО ""Техносила""";Н.Новгород;Товар Г;60; 4702,04₽ ;282122,40
07/23/23;;Новосибирск;Товар Г;28; 2855,91₽ ;79965,48
