date;metric_name;value;category
2024-03-10;revenue;119724;operations
2024-03-10;orders;260;sales
2024-03-10;orders;250;marketing
2024-03-10;orders;602;operations
2024-03-10;customers;426;sales
2024-03-10;customers;154;marketing
2024-03-10;customers;241;operations
2024-03-10;avg_order_value;369;sales
2024-03-10;avg_order_value;221;marketing
2024-03-10;avg_order_value;200;operations
2024-03-11;revenue;66907;sales
2024-03-11;revenue;68777;marketing
2024-03-11;revenue;143229;operations
2024-03-11;orders;745;sales
2024-03-11;orders;277;marketing
2024-03-11;orders;272;operations
2024-03-11;customers;431;sales
2024-03-11;customers;398;marketing
2024-03-11;customers;196;operations
2024-03-11;avg_order_value;320;sales
2024-03-11;avg_order_value;413;marketing
2024-03-11;avg_order_value;438;operations
2024-03-12;revenue;105645;sales
2024-03-12;revenue;69262;marketing
2024-03-12;revenue;102796;operations
2024-03-12;orders;536;sales
2024-03-12;orders;225;marketing
2024-03-12;orders;456;operations
2024-03-12;customers;157;sales
2024-03-12;customers;262;marketing
2024-03-12;customers;504;operations
2024-03-12;avg_order_value;452;sales
2024-03-12;avg_order_value;379;marketing
2024-03-12;avg_order_value;406;operations
2024-03-13;revenue;50302;sales
2024-03-13;revenue;132558;marketing
2024-03-13;revenue;50055;operations
2024-03-13;orders;725;sales
2024-03-13;orders;673;marketing
2024-03-13;orders;227;operations
2024-03-13;customers;227;sales
2024-03-13;customers;365;marketing
2024-03-13;customers;535;operations
2024-03-13;avg_order_value;353;sales
2024-03-13;avg_order_value;213;marketing
2024-03-13;avg_order_value;386;operations
2024-03-14;revenue;55126;sales
2024-03-14;revenue;55122;marketing
2024-03-14;revenue;68030;operations
2024-03-14;orders;562;sales
2024-03-14;orders;707;marketing
2024-03-14;orders;473;operations
2024-03-14;customers;443;sales
2024-03-14;customers;376;marketing
2024-03-14;customers;520;operations
2024-03-14;avg_order_value;214;sales
2024-03-14;avg_order_value;391;marketing
2024-03-14;avg_order_value;318;operations
2024-03-15;revenue;60267;sales
2024-03-15;revenue;140825;marketing
2024-03-15;revenue;51062;operations
2024-03-15;orders;472;sales
2024-03-15;orders;430;marketing
2024-03-15;orders;285;operations
2024-03-15;customers;275;sales
2024-03-15;customers;449;marketing
2024-03-15;customers;174;operations
2024-03-15;avg_order_value;344;sales
2024-03-15;avg_order_value;212;marketing
2024-03-15;avg_order_value;411;operations
2024-03-16;revenue;56168;sales
2024-03-16;revenue;57561;marketing
2024-03-16;revenue;123794;operations
2024-03-16;orders;432;sales
2024-03-16;orders;308;marketing
2024-03-16;orders;345;operations
2024-03-16;customers;260;sales
2024-03-16;customers;377;marketing
2024-03-16;customers;260;operations
2024-03-16;avg_order_value;233;sales
2024-03-16;avg_order_value;310;marketing
2024-03-16;avg_order_value;463;operations
2024-03-17;revenue;127735;sales
2024-03-17;revenue;131264;marketing
2024-03-17;revenue;73275;operations
2024-03-17;orders;794;sales
2024-03-17;orders;753;marketing
2024-03-17;orders;624;operations
2024-03-17;customers;250;sales
2024-03-17;customers;155;marketing
2024-03-17;customers;329;operations
2024-03-17;avg_order_value;481;sales
2024-03-17;avg_order_value;425;marketing
2024-03-17;avg_order_value;428;operations
2024-03-18;revenue;78024;sales
2024-03-18;revenue;108656;marketing
2024-03-18;revenue;77285;operations
2024-03-18;orders;476;sales
2024-03-18;orders;781;marketing
2024-03-18;orders;702;operations
2024-03-18;customers;261;sales
2024-03-18;customers;153;marketing
2024-03-18;customers;499;operations
2024-03-18;avg_order_value;294;sales
2024-03-18;avg_order_value;351;marketing
2024-03-18;avg_order_value;336;operations
2024-03-19;revenue;63046;sales
2024-03-19;revenue;74818;marketing
2024-03-19;revenue;54324;operations
2024-03-19;orders;747;sales
2024-03-19;orders;422;marketing
2024-03-19;orders;205;operations
2024-03-19;customers;471;sales
2024-03-19;customers;369;marketing
2024-03-19;customers;224;operations
2024-03-19;avg_order_value;203;sales
2024-03-19;avg_order_value;333;marketing
2024-03-19;avg_order_value;317;operations
2024-03-20;revenue;134471;sales
2024-03-20;revenue;63234;marketing
2024-03-20;revenue;103441;operations
2024-03-20;orders;591;sales
2024-03-20;orders;225;marketing
2024-03-20;orders;634;operations
2024-03-20;customers;322;sales
2024-03-20;customers;449;marketing
2024-03-20;customers;282;operations
2024-03-20;avg_order_value;317;sales
2024-03-20;avg_order_value;474;marketing
2024-03-20;avg_order_value;411;operations
2024-03-21;revenue;99376;sales
2024-03-21;revenue;95587;marketing
2024-03-21;revenue;86976;operations
2024-03-21;orders;339;sales
2024-03-21;orders;758;marketing
2024-03-21;orders;200;operations
2024-03-21;customers;239;sales
2024-03-21;customers;291;marketing
2024-03-21;customers;469;operations
2024-03-21;avg_order_value;237;sales
2024-03-21;avg_order_value;492;marketing
2024-03-21;avg_order_value;338;operations
2024-03-22;revenue;82254;sales
2024-03-22;revenue;97362;marketing
2024-03-22;revenue;70128;operations
2024-03-22;orders;209;sales
2024-03-22;orders;460;marketing
2024-03-22;orders;371;operations
2024-03-22;customers;535;sales
2024-03-22;customers;162;marketing
2024-03-22;customers;317;operations
2024-03-22;avg_order_value;329;sales
2024-03-22;avg_order_value;283;marketing
2024-03-22;avg_order_value;300;operations
2024-03-23;revenue;69216;sales
2024-03-23;revenue;143070;marketing
2024-03-23;revenue;129767;operations
2024-03-23;orders;749;sales
2024-03-23;orders;618;marketing
2024-03-23;orders;294;operations
2024-03-23;customers;454;sales
2024-03-23;customers;218;marketing
2024-03-23;customers;467;operations
2024-03-23;avg_order_value;435;sales
2024-03-23;avg_order_value;336;marketing
2024-03-23;avg_order_value;275;operations
2024-03-24;revenue;123698;sales
2024-03-24;revenue;55415;marketing
2024-03-24;revenue;86159;operations
2024-03-24;orders;771;sales
2024-03-24;orders;548;marketing
2024-03-24;orders;428;operations
2024-03-24;customers;419;sales
2024-03-24;customers;465;marketing
2024-03-24;customers;435;operations
2024-03-24;avg_order_value;490;sales
2024-03-24;avg_order_value;412;marketing
2024-03-24;avg_order_value;364;operations
2024-03-25;revenue;69282;sales
2024-03-25;revenue;73930;marketing
2024-03-25;revenue;50077;operations
2024-03-25;orders;609;sales
2024-03-25;orders;773;marketing
2024-03-25;orders;331;operations
2024-03-25;customers;238;sales
2024-03-25;customers;386;marketing
2024-03-25;customers;191;operations
2024-03-25;avg_order_value;288;sales
2024-03-25;avg_order_value;495;marketing
2024-03-25;avg_order_value;494;operations
2024-03-26;revenue;79287;sales
2024-03-26;revenue;143709;marketing
2024-03-26;revenue;89711;operations
2024-03-26;orders;621;sales
2024-03-26;orders;222;marketing
2024-03-26;orders;774;operations
2024-03-26;customers;292;sales
2024-03-26;customers;302;marketing
2024-03-26;customers;294;operations
2024-03-26;avg_order_value;424;sales
2024-03-26;avg_order_value;303;marketing
2024-03-26;avg_order_value;303;operations
2024-03-27;revenue;54018;sales
2024-03-27;revenue;61302;marketing
2024-03-27;revenue;117506;operations
2024-03-27;orders;397;sales
2024-03-27;orders;778;marketing
2024-03-27;orders;590;operations
2024-03-27;customers;328;sales
2024-03-27;customers;191;marketing
2024-03-27;customers;597;operations
2024-03-27;avg_order_value;214;sales
2024-03-27;avg_order_value;310;marketing
2024-03-27;avg_order_value;356;operations
2024-03-28;revenue;55408;sales
2024-03-28;revenue;109379;marketing
2024-03-28;revenue;75053;operations
2024-03-28;orders;430;sales
2024-03-28;orders;619;marketing
2024-03-28;orders;356;operations
2024-03-28;customers;187;sales
2024-03-28;customers;590;marketing
2024-03-28;customers;246;operations
2024-03-28;avg_order_value;488;sales
2024-03-28;avg_order_value;453;marketing
2024-03-28;avg_order_value;395;operations
2024-03-29;revenue;69029;sales
2024-03-29;revenue;109201;marketing
2024-03-29;revenue;82265;operations
2024-03-29;orders;716;sales
2024-03-29;orders;317;marketing
2024-03-29;orders;358;operations
2024-03-29;customers;452;sales
2024-03-29;customers;377;marketing
2024-03-29;customers;514;operations
2024-03-29;avg_order_value;415;sales
2024-03-29;avg_order_value;383;marketing
2024-03-29;avg_order_value;214;operations
2024-03-30;revenue;70103;sales
2024-03-30;revenue;114772;marketing
2024-03-30;revenue;64382;operations
2024-03-30;orders;523;sales
2024-03-30;orders;329;marketing
2024-03-30;orders;610;operations
2024-03-30;customers;244;sales
2024-03-30;customers;264;marketing
2024-03-30;customers;392;operations
2024-03-30;avg_order_value;491;sales
2024-03-30;avg_order_value;481;marketing
2024-03-30;avg_order_value;498;operations
2024-03-31;revenue;121315;sales
2024-03-31;revenue;127834;marketing
2024-03-31;revenue;64153;operations
2024-03-31;orders;749;sales
2024-03-31;orders;333;marketing
2024-03-31;orders;222;operations
2024-03-31;customers;452;sales
2024-03-31;customers;495;marketing
2024-03-31;customers;451;operations
2024-03-31;avg_order_value;417;sales
2024-03-31;avg_order_value;340;marketing
2024-03-31;avg_order_value;303;operations
